title,,authors,journal,doi
Sequence requirements for RNA strand transfer during nidovirus discontinuous subgenomic RNA synthesis,,"Pasternak, Alexander O.; van den Born, Erwin; Spaan, Willy J.M.; Snijder, Eric J.",The EMBO Journal,10.1093/emboj/20.24.7220
"Crystal structure of murine sCEACAM1a[1,4]: a coronavirus receptor in the CEA family",,"Tan, Kemin; Zelus, Bruce D.; Meijers, Rob; Liu, Jin-huan; Bergelson, Jeffrey M.; Duke, Norma; Zhang, Rongguang; Joachimiak, Andrzej; Holmes, Kathryn V.; Wang, Jia-huai",The EMBO Journal,10.1093/emboj/21.9.2076
Synthesis of a novel hepatitis C virus protein by ribosomal frameshift,,"Xu, Zhenming; Choi, Jinah; Yen, T.S.Benedict; Lu, Wen; Strohecker, Anne; Govindarajan, Sugantha; Chien, David; Selby, Mark J.; Ou, Jing‐hsiung",EMBO J,10.1093/emboj/20.14.3840
Structure of coronavirus main proteinase reveals combination of a chymotrypsin fold with an extra α-helical domain,,"Anand, Kanchan; Palm, Gottfried J.; Mesters, Jeroen R.; Siddell, Stuart G.; Ziebuhr, John; Hilgenfeld, Rolf",The EMBO Journal,10.1093/emboj/cdf327
Discontinuous and non-discontinuous subgenomic RNA transcription in a nidovirus,,"van Vliet, A.L.W.; Smits, S.L.; Rottier, P.J.M.; de Groot, R.J.",The EMBO Journal,10.1093/emboj/cdf635
Airborne rhinovirus detection and effect of ultraviolet irradiation on detection by a semi-nested RT-PCR assay,,"Myatt, Theodore A; Johnston, Sebastian L; Rudnick, Stephen; Milton, Donald K",BMC Public Health,10.1186/1471-2458-3-5
Discovering human history from stomach bacteria,,"Disotell, Todd R",Genome Biol,10.1186/gb-2003-4-5-213
Prokaryotic-style frameshifting in a plant translation system: conservation of an unusual single-tRNA slippage event,,"Napthine, Sawsan; Vidakovic, Marijana; Girnary, Roseanne; Namy, Olivier; Brierley, Ian",The EMBO Journal,10.1093/emboj/cdg365
A new recruit for the army of the men of death,,"Petsko, Gregory A",Genome Biol,10.1186/gb-2003-4-7-113
"SseG, a virulence protein that targets Salmonella to the Golgi network",,"Salcedo, Suzana P.; Holden, David W.",The EMBO Journal,10.1093/emboj/cdg517
Association of HLA class I with severe acute respiratory syndrome coronavirus infection,,"Lin, Marie; Tseng, Hsiang-Kuang; Trejaut, Jean A; Lee, Hui-Lin; Loo, Jun-Hun; Chu, Chen-Chung; Chen, Pei-Jan; Su, Ying-Wen; Lim, Ken Hong; Tsai, Zen-Uong; Lin, Ruey-Yi; Lin, Ruey-Shiung; Huang, Chun-Hsiung",BMC Med Genet,10.1186/1471-2350-4-9
A double epidemic model for the SARS propagation,,"Ng, Tuen Wai; Turinici, Gabriel; Danchin, Antoine",BMC Infect Dis,10.1186/1471-2334-3-19
Cloaked similarity between HIV-1 and SARS-CoV suggests an anti-SARS strategy,,"Kliger, Yossef; Levanon, Erez Y",BMC Microbiol,10.1186/1471-2180-3-20
Relationship of SARS-CoV to other pathogenic RNA viruses explored by tetranucleotide usage profiling,,"Yap, Yee Leng; Zhang, Xue Wu; Danchin, Antoine",BMC Bioinformatics,10.1186/1471-2105-4-43
Viral Discovery and Sequence Recovery Using DNA Microarrays,,"Wang, David; Urisman, Anatoly; Liu, Yu-Tsueng; Springer, Michael; Ksiazek, Thomas G; Erdman, Dean D; Mardis, Elaine R; Hickenbotham, Matthew; Magrini, Vincent; Eldred, James; Latreille, J. Phillipe; Wilson, Richard K; Ganem, Don; DeRisi, Joseph L",PLoS Biol,10.1371/journal.pbio.0000002
"A model of tripeptidyl-peptidase I (CLN2), a ubiquitous and highly conserved member of the sedolisin family of serine-carboxyl peptidases",,"Wlodawer, Alexander; Durell, Stewart R; Li, Mi; Oyama, Hiroshi; Oda, Kohei; Dunn, Ben M",BMC Struct Biol,10.1186/1472-6807-3-8
Air pollution and case fatality of SARS in the People's Republic of China: an ecologic study,,"Cui, Yan; Zhang, Zuo-Feng; Froines, John; Zhao, Jinkou; Wang, Hua; Yu, Shun-Zhang; Detels, Roger",Environ Health,10.1186/1476-069x-2-15
The Virus That Changed My World,,"Poh Ng, Lisa Fong",PLoS Biol,10.1371/journal.pbio.0000066
Heterogeneous nuclear ribonucleoprotein A1 regulates RNA synthesis of a cytoplasmic virus,,"Shi, Stephanie T.; Huang, Peiyong; Li, Hsin-Pai; Lai, Michael M.C.",The EMBO Journal,10.1093/emboj/19.17.4701
A Method to Identify p62's UBA Domain Interacting Proteins,,"Pridgeon, Julia W.; Geetha, Thangiah; Wooten, Marie W.",Biol Proced Online,10.1251/bpo66
Vaccinia virus infection disrupts microtubule organization and centrosome function,,"Ploubidou, Aspasia; Moreau, Violaine; Ashman, Keith; Reckmann, Inge; González, Cayetano; Way, Michael",The EMBO Journal,10.1093/emboj/19.15.3932
"Towards evidence-based, GIS-driven national spatial health information infrastructure and surveillance services in the United Kingdom",,"Boulos, Maged N Kamel",Int J Health Geogr,10.1186/1476-072x-3-1
Descriptive review of geographic mapping of severe acute respiratory syndrome (SARS) on the Internet,,"Boulos, Maged N Kamel",Int J Health Geogr,10.1186/1476-072x-3-2
Pro/con clinical debate: Steroids are a key component in the treatment of SARS,,"Gomersall, Charles D; Kargel, Marcus J; Lapinsky, Stephen E",Crit Care,10.1186/cc2452
"8th Annual Toronto Critical Care Medicine Symposium, 30 October–1 November 2003, Toronto, Ontario, Canada",,"Granton, Jeff; Granton, John",Crit Care,10.1186/cc2429
Recently published papers: all the usual suspects and carbon dioxide,,"Ball, Jonathan",Crit Care,10.1186/cc2449
Detection of hepatitis C virus in the nasal secretions of an intranasal drug-user,,"McMahon, James M; Simm, Malgorzata; Milano, Danielle; Clatts, Michael",Ann Clin Microbiol Antimicrob,10.1186/1476-0711-3-6
Bioinformatics analysis of SARS coronavirus genome polymorphism,,"Pavlović-Lažetić, Gordana M; Mitić, Nenad S; Beljanski, Miloš V",BMC Bioinformatics,10.1186/1471-2105-5-65
Coronavirus 3CL(pro )proteinase cleavage sites: Possible relevance to SARS virus pathology,,"Kiemer, Lars; Lund, Ole; Brunak, Søren; Blom, Nikolaj",BMC Bioinformatics,10.1186/1471-2105-5-72
Moderate mutation rate in the SARS coronavirus genome and its implications,,"Zhao, Zhongming; Li, Haipeng; Wu, Xiaozhuang; Zhong, Yixi; Zhang, Keqin; Zhang, Ya-Ping; Boerwinkle, Eric; Fu, Yun-Xin",BMC Evol Biol,10.1186/1471-2148-4-21
Pro/con clinical debate: Isolation precautions for all intensive care unit patients with methicillin-resistant Staphylococcus aureus colonization are essential,,"Farr, Barry M; Bellingan, Geoffrey",Crit Care,10.1186/cc2817
Base-By-Base: Single nucleotide-level analysis of whole viral genome alignments,,"Brodie, Ryan; Smith, Alex J; Roper, Rachel L; Tcherepanov, Vasily; Upton, Chris",BMC Bioinformatics,10.1186/1471-2105-5-96
Date of origin of the SARS coronavirus strains,,"Lu, Hongchao; Zhao, Yi; Zhang, Jingfen; Wang, Yuelan; Li, Wei; Zhu, Xiaopeng; Sun, Shiwei; Xu, Jingyi; Ling, Lunjiang; Cai, Lun; Bu, Dongbo; Chen, Runsheng",BMC Infect Dis,10.1186/1471-2334-4-3
Mutations in the IGF-II pathway that confer resistance to lytic reovirus infection,,"Sheng, Jinsong; Organ, Edward L; Hao, Chuanming; Wells, K Sam; Ruley, H Earl; Rubin, Donald H",BMC Cell Biol,10.1186/1471-2121-5-32
Mutational dynamics of the SARS coronavirus in cell culture and human populations isolated in 2003,,"Vega, Vinsensius B; Ruan, Yijun; Liu, Jianjun; Lee, Wah Heng; Wei, Chia Lin; Se-Thoe, Su Yun; Tang, Kin Fai; Zhang, Tao; Kolatkar, Prasanna R; Ooi, Eng Eong; Ling, Ai Ee; Stanton, Lawrence W; Long, Philip M; Liu, Edison T",BMC Infect Dis,10.1186/1471-2334-4-32
A human in vitro model system for investigating genome-wide host responses to SARS coronavirus infection,,"Ng, Lisa FP; Hibberd, Martin L; Ooi, Eng-Eong; Tang, Kin-Fai; Neo, Soek-Ying; Tan, Jenny; Krishna Murthy, Karuturi R; Vega, Vinsensius B; Chia, Jer-Ming; Liu, Edison T; Ren, Ee-Chee",BMC Infect Dis,10.1186/1471-2334-4-34
Logistics of community smallpox control through contact tracing and ring vaccination: a stochastic network model,,"Porco, Travis C; Holbrook, Karen A; Fernyak, Susan E; Portnoy, Diane L; Reiter, Randy; Aragón, Tomás J",BMC Public Health,10.1186/1471-2458-4-34
Virology on the Internet: the time is right for a new journal,,"Garry, Robert F",Virol J,10.1186/1743-422x-1-1
A touchdown nucleic acid amplification protocol as an alternative to culture backup for immunofluorescence in the routine diagnosis of acute viral respiratory tract infections,,"Coyle, Peter V; Ong, Grace M; O'Neill, Hugh J; McCaughey, Conall; De Ornellas, Dennis; Mitchell, Frederick; Mitchell, Suzanne J; Feeney, Susan A; Wyatt, Dorothy E; Forde, Marian; Stockton, Joanne",BMC Microbiol,10.1186/1471-2180-4-41
Clinical education of ethicists: the role of a clinical ethics fellowship,,"Chidwick, Paula; Faith, Karen; Godkin, Dianne; Hardingham, Laurie",BMC Med Ethics,10.1186/1472-6939-5-6
A systematic review of the effectiveness of antimicrobial rinse-free hand sanitizers for prevention of illness-related absenteeism in elementary school children,,"Meadows, Emily; Le Saux, Nicole",BMC Public Health,10.1186/1471-2458-4-50
Proteomics computational analyses suggest that the carboxyl terminal glycoproteins of Bunyaviruses are class II viral fusion protein (beta-penetrenes),,"Garry, Courtney E; Garry, Robert F",Theor Biol Med Model,10.1186/1742-4682-1-10
Genome structure and transcriptional regulation of human coronavirus NL63,,"Pyrc, Krzysztof; Jebbink, Maarten F; Berkhout, Ben; van der Hoek, Lia",Virol J,10.1186/1743-422x-1-7
The Structure of a Rigorously Conserved RNA Element within the SARS Virus Genome,,"Robertson, Michael P; Igel, Haller; Baertsch, Robert; Haussler, David; Ares, Manuel; Scott, William G",PLoS Biol,10.1371/journal.pbio.0030005
SARS and hospital priority setting: a qualitative case study and evaluation,,"Bell, Jennifer AH; Hyland, Sylvia; DePellegrin, Tania; Upshur, Ross EG; Bernstein, Mark; Martin, Douglas K",BMC Health Serv Res,10.1186/1472-6963-4-36
The involvement of survival signaling pathways in rubella-virus induced apoptosis,,"Cooray, Samantha; Jin, Li; Best, Jennifer M",Virol J,10.1186/1743-422x-2-1
Bioinformatic mapping of AlkB homology domains in viruses,,"Bratlie, Marit S; Drabløs, Finn",BMC Genomics,10.1186/1471-2164-6-1
"Dynamic changes of serum SARS-Coronavirus IgG, pulmonary function and radiography in patients recovering from SARS after hospital discharge",,"Xie, Lixin; Liu, Youning; Fan, Baoxing; Xiao, Yueyong; Tian, Qing; Chen, Liangan; Zhao, Hong; Chen, Weijun",Respir Res,10.1186/1465-9921-6-5
Protein secretion in Lactococcus lactis : an efficient way to increase the overall heterologous protein production,,"Le Loir, Yves; Azevedo, Vasco; Oliveira, Sergio C; Freitas, Daniela A; Miyoshi, Anderson; Bermúdez-Humarán, Luis G; Nouaille, Sébastien; Ribeiro, Luciana A; Leclercq, Sophie; Gabriel, Jane E; Guimaraes, Valeria D; Oliveira, Maricê N; Charlier, Cathy; Gautier, Michel; Langella, Philippe",Microb Cell Fact,10.1186/1475-2859-4-2
Accuracy of parents in measuring body temperature with a tympanic thermometer,,"Robinson, Joan L; Jou, Hsing; Spady, Donald W",BMC Fam Pract,10.1186/1471-2296-6-3
Trade and Health: Is the Health Community Ready for Action?,,"Lee, Kelley; Koivusalo, Meri",PLoS Med,10.1371/journal.pmed.0020008
Locked nucleic acid (LNA) mediated improvements in siRNA stability and functionality,,"Elmén, Joacim; Thonberg, Håkan; Ljungberg, Karl; Frieden, Miriam; Westergaard, Majken; Xu, Yunhe; Wahren, Britta; Liang, Zicai; Ørum, Henrik; Koch, Troels; Wahlestedt, Claes",Nucleic Acids Res,10.1093/nar/gki193
Detection and characterization of horizontal transfers in prokaryotes using genomic signature,,"Dufraigne, Christine; Fertil, Bernard; Lespinats, Sylvain; Giron, Alain; Deschavanne, Patrick",Nucleic Acids Res,10.1093/nar/gni004
Expression profile of immune response genes in patients with Severe Acute Respiratory Syndrome,,"Reghunathan, Renji; Jayapal, Manikandan; Hsu, Li-Yang; Chng, Hiok-Hee; Tai, Dessmon; Leung, Bernard P; Melendez, Alirio J",BMC Immunol,10.1186/1471-2172-6-2
Molecular mechanisms of severe acute respiratory syndrome (SARS),,"Groneberg, David A; Hilgenfeld, Rolf; Zabel, Peter",Respir Res,10.1186/1465-9921-6-8
"A molecular beacon, bead-based assay for the detection of nucleic acids by flow cytometry",,"Horejsh, Douglas; Martini, Federico; Poccia, Fabrizio; Ippolito, Giuseppe; Di Caro, Antonino; Capobianchi, Maria R.",Nucleic Acids Res,10.1093/nar/gni015
"Reference gene selection for quantitative real-time PCR analysis in virus infected cells: SARS corona virus, Yellow fever virus, Human Herpesvirus-6, Camelpox virus and Cytomegalovirus infections",,"Radonić, Aleksandar; Thulke, Stefanie; Bae, Hi-Gung; Müller, Marcel A; Siegert, Wolfgang; Nitsche, Andreas",Virol J,10.1186/1743-422x-2-7
A novel pancoronavirus RT-PCR assay: frequent detection of human coronavirus NL63 in children hospitalized with respiratory tract infections in Belgium,,"Moës, Elien; Vijgen, Leen; Keyaerts, Els; Zlateva, Kalina; Li, Sandra; Maes, Piet; Pyrc, Krzysztof; Berkhout, Ben; van der Hoek, Lia; Van Ranst, Marc",BMC Infect Dis,10.1186/1471-2334-5-6
"Comparisons of substitution, insertion and deletion probes for resequencing and mutational analysis using oligonucleotide microarrays",,"Karaman, Mazen W.; Groshen, Susan; Lee, Chi-Chiang; Pike, Brian L.; Hacia, Joseph G.",Nucleic Acids Res,10.1093/nar/gni034
The Severe Acute Respiratory Syndrome (SARS)-coronavirus 3a protein may function as a modulator of the trafficking properties of the spike protein,,"Tan, Yee-Joo",Virol J,10.1186/1743-422x-2-5
The Courage to Change the Rules: A Proposal for an Essential Health R&D Treaty,,"Dentico, Nicoletta; Ford, Nathan",PLoS Med,10.1371/journal.pmed.0020014
SARS Transmission Pattern in Singapore Reassessed by Viral Sequence Variation Analysis,,"Liu, Jianjun; Lim, Siew Lan; Ruan, Yijun; Ling, Ai Ee; Ng, Lisa F. P; Drosten, Christian; Liu, Edison T; Stanton, Lawrence W; Hibberd, Martin L",PLoS Med,10.1371/journal.pmed.0020043
A Gene Encoding Sialic-Acid-Specific 9-O-Acetylesterase Found in Human Adult Testis,,"Zhu, Hu; Chang Chan, Hsiao; Zhou, Zuoming; Li, Jianming; Zhu, Hui; Yin, Lanlan; Xu, Ming; Cheng, Lijun; Sha, Jiahao",J Biomed Biotechnol,10.1155/s1110724304307084
Recombinant Tula hantavirus shows reduced fitness but is able to survive in the presence of a parental virus: analysis of consecutive passages in a cell culture,,"Plyusnina, Angelina; Plyusnin, Alexander",Virol J,10.1186/1743-422x-2-12
Australia's international health relations in 2003,,"Barraclough, Simon",Aust New Zealand Health Policy,10.1186/1743-8462-2-3
