roles,#doc,documents
Educator,3,"So speaking at a local district level, we have had our first equity policy was approved last year, which is really exciting under our new superintendent that we have, and that was a big work. We had a director of equity for the first time ever last year, full time. Unfortunately, he left to go to the west side, and so we have another person who is just point four and not necessarily in that leadership capacity, but that has been some really exciting work that I think our district has taken on."
Educator,11,"I know that my field, the area of my expertise is really in language development and working with students who are learning English as a new language, and so I feel a lot of frustration around local policies in terms of equity around our multilingual learners. For me, that is the world that I tried to use advocacy in my local district for, and have not seen significant changes in many years."
Educator,12,"In terms of local policies, something that can be limiting is the emphasis on compliance. I was a teacher in the district, and then I left for several years, and then I came back as a professional-development specialist around English learners. One of the things that happened is it was all about compliance, which is great that compliance without impact or compliance without..."
Educator,13,"I think you were talking before about this data policy feedback-loop. So just to make sure that we are doing things just to check boxes is a huge frustration in terms of that ground that...I think the upper administrators, their job is basically to keep us in compliance. I mean, I understand that is a big responsibility."
Educator,14,"As a educator who works with students directly, my job is to make sure that I am giving the best situation for my students, and so a lot of times, there is this disconnect what students need and the compliance piece, making sure that we are just getting the compliance, I think that sometimes can be a frustration, for example, around English language development services for students."
Educator,15,"That is a federal requirement that civil that we provide English language development services to all students, but what that looks like many times can be a check box, or maybe it could be segregation, maybe it could be a not really meaningful instruction. We are able to check the box that what is happened, but as a result, we may have students six years in an ESL One class never having access to grade level curriculum."
Educator,16,"I think that that is an issue that is well-intentioned policies that are needed to be, but without the piece of the impact in terms of students and not understanding of what students...student-based decisions I think it is that is the frustration."
Educator,17,"Just to paraphrase, the other way of putting this will be like, Although we check the box, we are providing services to this group of students, but we should be more thinking about the quality of the services we would provide to them, or we have really served their needs (Thank you. Yes, I think so)."
Educator,18,"In terms of what is the quality that we are having, in terms of...in our region, it is really teacher dependent, and so I am not advocating that we like to have some set curriculum, but teachers are coming in with a variety of different backgrounds and experiences, and so having this common understanding even amongst administration, even at the state level all the way down."
Educator,19,"I know I had some conversations last year with Superintendent Reykdal, I am a big proponent of his dual language initiatives that he is proposing. Along with that is we have to ensure students have whatever language skills they need to be able to do whatever they want to with their lives. That is the ultimate goal. That they get choices to do what they want to with their future, and in our country now, that is also English language development, and so this lack of understanding around how do we make really meaningful language development in honor students, native languages, and heritage languages? Yes, absolutely, and that also has to go in tandem with making sure we are giving kids the skills that they need to be able to have access to what they want to be doing in life."
Educator,20,"In another word, the quality here actually have, at the minimum, two folds as I am hearing, one will be really during the implementation will be the quality of the program or instructional program or services well provide to these students. The other you are actually talking about towards the end, the students outcome. Are they really have the language skill or other type of outcome and skills and knowledge to be able to fully participate in all these different program opportunity offered to the main schools by having that language skill? (Yes, absolutely, thank you)."
Educator,21,"One of the challenges we have is that in terms of resources, we do get the grant through the best funding. So this year, we have lets say 57 brand new to the profession educators. I am a full release mentor full-time, and then I have a colleague who is part-time. We run the program, so we do all the professional-learning for all of our mentees, we do the stakeholder meeting, we do a variety of things that are outside of the role of just direct mentoring. Obviously, that is a large number of mentees to have for one point five people, it is a lot."
Educator,22,"Again, some of our new educators, just given the situation they had last year, need more intensive amounts of support, so we are spread pretty thin, so in terms of getting additional personnel to do this really important work would be awesome, because part of the benefit of this role is that we are really trying to have a focus on equity, and we are really trying to support our new educators in most equitable practices from the very beginning, and believing that if you start this way, then you are just going to build your practice and instructions really critical."
Educator,23,"In terms of financial resources, definitely, I would love to have more mentors because we are not able to really mentor our year two teachers. We know last year, everything was online, so this is really their first year teaching, and so that is a frustration, and that is a limitation that we have in terms of the support that we can provide, in terms of how we use the money, I agree wholeheartedly."
Educator,24,"I am new to this position, so I am still trying to find what is the most effective and efficient way to do this work. And our district in the past had different models, where maybe it was a colleague mentor, and that was we facilitated the professional-learning and then colleague mentor, which was great, but not all of our colleague mentors can attend in-depth training and especially around issues of equity. Then what is being mentored and what is being supported is harder to, I guess, measure in terms of that we are all trying to advocate for the same definition of equity and work moving forward."
